week	MFAssignR	MSMetaEnhancer	RIAssigner	gc-meox-tms	matchms	ms2deepscore	rcx-tk	recetox-aplcms	recetox-msfinder	recetox-waveica	recetox-xMSannotator	spec2vec	wtv
2025-W51	3	4	2		80	28	3	9	2		3	18	
2025-W52		8	3		68	22		2	1		1	11	
