week	MFAssignR	MSMetaEnhancer	RIAssigner	gc-meox-tms	matchms	ms2deepscore	rcx-tk	recetox-aplcms	recetox-msfinder	recetox-waveica	recetox-xMSannotator	spec2vec	wtv
2025-W51	2	42	15	6	46	13	36	24	2	1		17	3
2025-W52		14	7		191	5	6	4	2	1	2	6	1
